N,S,M,L,XL
442,0.088,0.12,0.186,0.405
443,0.086,0.12,0.19,0.41
444,0.086,0.117,0.187,0.421
445,0.086,0.124,0.192,0.402
446,0.085,0.116,0.184,0.4
447,0.086,0.117,0.189,0.395
448,0.087,0.119,0.186,0.435
449,0.086,0.115,0.187,0.407
450,0.087,0.116,0.188,0.402
451,0.086,0.116,0.186,0.401
452,0.085,0.117,0.186,0.394
453,0.085,0.118,0.187,0.392
454,0.087,0.12,0.188,0.391
455,0.086,0.121,0.185,0.397
456,0.085,0.118,0.187,0.396
457,0.087,0.116,0.187,0.398
458,0.085,0.117,0.187,0.39
459,0.086,0.117,0.186,0.391
460,0.085,0.116,0.207,0.387
461,0.085,0.116,0.19,0.391
462,0.085,0.117,0.202,0.393
463,0.087,0.117,0.187,0.396
464,0.087,0.118,0.187,0.395
465,0.09,0.117,0.187,0.396
466,0.087,0.115,0.187,0.392
467,0.086,0.118,0.202,0.389
468,0.086,0.117,0.231,0.391
469,0.086,0.116,0.186,0.393
470,0.086,0.116,0.187,0.394
471,0.085,0.115,0.189,0.396
472,0.085,0.117,0.194,0.39
473,0.085,0.12,0.189,0.397
474,0.086,0.122,0.192,0.399
475,0.086,0.122,0.187,0.394
476,0.086,0.12,0.19,0.388
477,0.087,0.121,0.189,0.396
478,0.088,0.114,0.188,0.392
479,0.086,0.114,0.188,0.391
480,0.088,0.116,0.186,0.389
481,0.086,0.115,0.186,0.397
482,0.086,0.116,0.187,0.391
483,0.087,0.12,0.183,0.399
484,0.089,0.118,0.184,0.396
485,0.087,0.12,0.188,0.393
486,0.085,0.117,0.185,0.4
487,0.085,0.118,0.183,0.4
488,0.087,0.117,0.186,0.392
489,0.085,0.116,0.187,0.414
490,0.085,0.116,0.19,0.399
491,0.085,0.116,0.189,0.396
492,0.085,0.117,0.188,0.403
493,0.085,0.116,0.185,0.398
494,0.085,0.117,0.185,0.4
495,0.086,0.119,0.188,0.394
496,0.086,0.117,0.187,0.399
497,0.087,0.122,0.189,0.392
498,0.086,0.122,0.188,0.401
499,0.085,0.122,0.186,0.394
