N,S,M,L,XL
267,0.106,0.142,0.235,0.506
268,0.104,0.143,0.234,0.493
269,0.105,0.144,0.226,0.512
270,0.106,0.144,0.229,0.494
271,0.105,0.142,0.227,0.527
272,0.107,0.146,0.229,0.544
273,0.104,0.143,0.232,0.555
274,0.108,0.147,0.23,0.496
275,0.107,0.157,0.234,0.536
276,0.105,0.147,0.233,0.593
277,0.108,0.145,0.233,0.572
278,0.119,0.146,0.233,0.559
279,0.109,0.146,0.231,0.509
280,0.117,0.141,0.231,0.534
281,0.106,0.142,0.229,0.511
282,0.106,0.147,0.231,0.491
283,0.107,0.143,0.225,0.49
284,0.107,0.145,0.231,0.495
285,0.108,0.145,0.232,0.494
286,0.106,0.141,0.236,0.489
287,0.106,0.144,0.233,0.488
288,0.105,0.143,0.232,0.497
289,0.106,0.144,0.235,0.489
290,0.105,0.146,0.231,0.491
291,0.105,0.146,0.231,0.496
292,0.109,0.143,0.227,0.501
293,0.111,0.144,0.23,0.487
294,0.106,0.147,0.233,0.494
295,0.105,0.144,0.23,0.487
296,0.109,0.148,0.228,0.494
297,0.107,0.144,0.229,0.498
298,0.106,0.147,0.23,0.486
299,0.106,0.142,0.231,0.501
300,0.109,0.144,0.227,0.498
301,0.107,0.145,0.227,0.496
302,0.109,0.144,0.23,0.489
303,0.107,0.142,0.229,0.5
304,0.108,0.146,0.231,0.491
305,0.107,0.144,0.229,0.495
306,0.109,0.145,0.232,0.487
307,0.107,0.143,0.228,0.488
308,0.107,0.143,0.23,0.49
309,0.107,0.146,0.226,0.484
310,0.107,0.145,0.229,0.487
311,0.105,0.149,0.232,0.486
312,0.105,0.152,0.228,0.497
313,0.107,0.15,0.226,0.561
314,0.108,0.148,0.227,0.543
315,0.11,0.148,0.236,0.545
316,0.104,0.146,0.245,0.533
317,0.107,0.142,0.274,0.537
318,0.105,0.142,0.27,0.542
319,0.105,0.143,0.236,0.533
320,0.104,0.142,0.252,0.508
321,0.105,0.145,0.27,0.502
322,0.105,0.143,0.266,0.496
323,0.104,0.145,0.244,0.538
324,0.106,0.148,0.246,0.501
325,0.105,0.143,0.241,0.543
326,0.106,0.142,0.231,0.546
327,0.106,0.142,0.232,0.541
328,0.107,0.148,0.234,0.545
329,0.106,0.143,0.236,0.542
330,0.106,0.142,0.239,0.541
331,0.11,0.142,0.281,0.546
332,0.11,0.144,0.268,0.543
333,0.104,0.144,0.25,0.524
334,0.105,0.142,0.252,0.499
335,0.107,0.145,0.236,0.486
336,0.106,0.143,0.236,0.498
337,0.103,0.142,0.253,0.53
338,0.104,0.144,0.23,0.499
339,0.108,0.147,0.229,0.493
340,0.108,0.148,0.231,0.495
341,0.11,0.142,0.231,0.488
342,0.106,0.145,0.235,0.495
343,0.109,0.142,0.235,0.488
344,0.108,0.145,0.235,0.493
345,0.109,0.143,0.233,0.514
346,0.108,0.143,0.23,0.545
347,0.105,0.143,0.265,0.538
348,0.106,0.143,0.239,0.497
349,0.107,0.141,0.246,0.493
350,0.108,0.143,0.261,0.502
351,0.112,0.144,0.263,0.503
352,0.109,0.142,0.27,0.492
353,0.105,0.144,0.268,0.503
354,0.105,0.145,0.263,0.506
355,0.109,0.142,0.264,0.513
356,0.109,0.146,0.245,0.503
357,0.108,0.143,0.25,0.508
358,0.11,0.143,0.25,0.503
359,0.108,0.143,0.254,0.507
360,0.108,0.144,0.244,0.498
361,0.105,0.143,0.26,0.526
362,0.107,0.142,0.243,0.521
363,0.105,0.144,0.245,0.494
364,0.109,0.144,0.249,0.506
365,0.109,0.143,0.254,0.511
366,0.106,0.142,0.258,0.499
367,0.105,0.144,0.239,0.497
368,0.104,0.143,0.246,0.504
369,0.105,0.142,0.256,0.521
370,0.103,0.144,0.249,0.506
371,0.106,0.143,0.249,0.508
372,0.103,0.143,0.248,0.5
373,0.104,0.144,0.269,0.493
374,0.103,0.143,0.256,0.503
375,0.105,0.144,0.25,0.496
376,0.104,0.149,0.231,0.493
377,0.104,0.15,0.231,0.484
378,0.104,0.148,0.237,0.5
379,0.105,0.149,0.233,0.499
380,0.105,0.148,0.23,0.504
381,0.104,0.145,0.228,0.501
382,0.105,0.146,0.247,0.487
383,0.104,0.17,0.241,0.489
384,0.106,0.155,0.246,0.487
385,0.105,0.156,0.248,0.494
386,0.11,0.153,0.255,0.497
387,0.104,0.148,0.269,0.494
388,0.104,0.146,0.262,0.494
389,0.105,0.147,0.266,0.494
390,0.108,0.146,0.267,0.488
391,0.113,0.148,0.272,0.506
392,0.105,0.146,0.268,0.502
393,0.104,0.146,0.28,0.493
394,0.104,0.143,0.277,0.496
395,0.104,0.144,0.27,0.493
396,0.112,0.146,0.27,0.494
397,0.104,0.149,0.266,0.495
398,0.104,0.148,0.253,0.498
399,0.103,0.147,0.257,0.494
400,0.104,0.143,0.245,0.508
401,0.104,0.146,0.275,0.49
402,0.106,0.146,0.269,0.491
403,0.103,0.146,0.269,0.492
404,0.109,0.151,0.267,0.49
405,0.113,0.148,0.264,0.489
406,0.108,0.148,0.265,0.501
407,0.107,0.148,0.253,0.49
408,0.107,0.147,0.237,0.5
409,0.114,0.143,0.248,0.495
410,0.118,0.146,0.231,0.549
411,0.108,0.147,0.242,0.496
412,0.109,0.146,0.244,0.499
413,0.109,0.143,0.238,0.495
414,0.107,0.144,0.233,0.503
415,0.108,0.144,0.23,0.49
416,0.108,0.143,0.247,0.492
417,0.111,0.142,0.248,0.49
418,0.105,0.143,0.242,0.53
419,0.105,0.144,0.232,0.575
420,0.106,0.147,0.23,0.515
421,0.105,0.147,0.229,0.498
422,0.11,0.148,0.235,0.492
423,0.108,0.147,0.229,0.494
424,0.105,0.147,0.234,0.492
425,0.114,0.148,0.23,0.486
426,0.107,0.146,0.228,0.484
427,0.103,0.147,0.23,0.484
428,0.105,0.149,0.231,0.487
429,0.115,0.144,0.23,0.482
430,0.106,0.142,0.23,0.495
431,0.106,0.146,0.227,0.488
432,0.108,0.145,0.228,0.517
433,0.108,0.144,0.232,0.592
434,0.107,0.142,0.226,0.51
435,0.106,0.145,0.229,0.513
436,0.107,0.144,0.23,0.517
437,0.109,0.144,0.229,0.518
438,0.11,0.144,0.226,0.517
439,0.105,0.146,0.227,0.511
440,0.108,0.145,0.227,0.518
441,0.104,0.148,0.231,0.514
442,0.106,0.145,0.228,0.513
443,0.106,0.144,0.231,0.522
444,0.109,0.143,0.23,0.505
445,0.105,0.144,0.228,0.518
446,0.109,0.142,0.233,0.528
447,0.106,0.144,0.228,0.52
448,0.105,0.145,0.232,0.575
449,0.103,0.146,0.23,0.554
450,0.104,0.142,0.227,0.574
451,0.11,0.146,0.226,0.586
452,0.105,0.147,0.228,0.545
453,0.105,0.143,0.227,0.521
454,0.104,0.145,0.234,0.519
455,0.107,0.146,0.229,0.519
456,0.104,0.145,0.229,0.533
457,0.105,0.144,0.228,0.522
458,0.103,0.144,0.232,0.52
459,0.108,0.144,0.232,0.528
460,0.104,0.143,0.228,0.535
461,0.106,0.143,0.228,0.545
462,0.106,0.144,0.229,0.514
463,0.107,0.145,0.227,0.513
464,0.113,0.142,0.227,0.501
465,0.106,0.143,0.228,0.526
466,0.105,0.144,0.23,0.511
467,0.108,0.145,0.23,0.505
468,0.104,0.15,0.23,0.503
469,0.106,0.141,0.231,0.51
470,0.105,0.142,0.23,0.588
471,0.104,0.143,0.227,0.529
472,0.104,0.144,0.229,0.504
473,0.104,0.145,0.226,0.514
474,0.105,0.145,0.231,0.495
475,0.104,0.144,0.224,0.49
476,0.104,0.143,0.227,0.5
477,0.105,0.145,0.229,0.493
478,0.108,0.146,0.239,0.492
479,0.105,0.144,0.248,0.499
480,0.105,0.142,0.244,0.49
481,0.106,0.146,0.246,0.493
482,0.11,0.146,0.242,0.489
483,0.107,0.143,0.235,0.498
484,0.11,0.147,0.243,0.491
485,0.107,0.145,0.248,0.496
